split,label_text,video_path,feature_path,raw_num_frames,used_num_frames,fps
train,accident,data/wlasl_processed/train/accident/00623.mp4,outputs/wlasl_features/features/train_accident_00623.npz,104,96,25.0
train,accident,data/wlasl_processed/train/accident/00624.mp4,outputs/wlasl_features/features/train_accident_00624.npz,109,96,29.97
train,accident,data/wlasl_processed/train/accident/00628.mp4,outputs/wlasl_features/features/train_accident_00628.npz,35,35,29.97002997002997
train,accident,data/wlasl_processed/train/accident/00629.mp4,outputs/wlasl_features/features/train_accident_00629.npz,149,96,30.00201355795691
train,accident,data/wlasl_processed/train/accident/00631.mp4,outputs/wlasl_features/features/train_accident_00631.npz,76,75,29.97
train,accident,data/wlasl_processed/train/accident/00632.mp4,outputs/wlasl_features/features/train_accident_00632.npz,55,55,29.97
train,accident,data/wlasl_processed/train/accident/00633.mp4,outputs/wlasl_features/features/train_accident_00633.npz,26,25,29.97
train,accident,data/wlasl_processed/train/accident/00639.mp4,outputs/wlasl_features/features/train_accident_00639.npz,105,96,30.258464023692536
train,accident,data/wlasl_processed/train/accident/65009.mp4,outputs/wlasl_features/features/train_accident_65009.npz,56,56,23.976252093164867
train,apple,data/wlasl_processed/train/apple/03000.mp4,outputs/wlasl_features/features/train_apple_03000.npz,104,96,29.97002997002997
train,apple,data/wlasl_processed/train/apple/03001.mp4,outputs/wlasl_features/features/train_apple_03001.npz,91,91,29.97002997002997
train,apple,data/wlasl_processed/train/apple/03002.mp4,outputs/wlasl_features/features/train_apple_03002.npz,66,66,29.97
train,apple,data/wlasl_processed/train/apple/03003.mp4,outputs/wlasl_features/features/train_apple_03003.npz,128,96,30.002343933119775
train,apple,data/wlasl_processed/train/apple/03005.mp4,outputs/wlasl_features/features/train_apple_03005.npz,46,44,29.97
train,apple,data/wlasl_processed/train/apple/03008.mp4,outputs/wlasl_features/features/train_apple_03008.npz,88,88,30.314831204956377
train,apple,data/wlasl_processed/train/apple/65084.mp4,outputs/wlasl_features/features/train_apple_65084.npz,62,62,23.976075485966692
train,apple,data/wlasl_processed/train/apple/65085.mp4,outputs/wlasl_features/features/train_apple_65085.npz,70,70,29.97002997002997
train,appointment,data/wlasl_processed/train/appointment/03055.mp4,outputs/wlasl_features/features/train_appointment_03055.npz,185,96,25.0
train,appointment,data/wlasl_processed/train/appointment/03056.mp4,outputs/wlasl_features/features/train_appointment_03056.npz,114,96,25.0
train,appointment,data/wlasl_processed/train/appointment/03057.mp4,outputs/wlasl_features/features/train_appointment_03057.npz,96,96,29.97
train,appointment,data/wlasl_processed/train/appointment/03059.mp4,outputs/wlasl_features/features/train_appointment_03059.npz,101,96,29.97002997002997
train,appointment,data/wlasl_processed/train/appointment/03062.mp4,outputs/wlasl_features/features/train_appointment_03062.npz,42,42,29.97
train,appointment,data/wlasl_processed/train/appointment/03063.mp4,outputs/wlasl_features/features/train_appointment_03063.npz,93,93,30.296090174893205
train,appointment,data/wlasl_processed/train/appointment/65087.mp4,outputs/wlasl_features/features/train_appointment_65087.npz,46,46,23.976093402520384
train,argue,data/wlasl_processed/train/argue/03267.mp4,outputs/wlasl_features/features/train_argue_03267.npz,87,87,25.0
train,argue,data/wlasl_processed/train/argue/03268.mp4,outputs/wlasl_features/features/train_argue_03268.npz,110,96,29.97
train,argue,data/wlasl_processed/train/argue/03270.mp4,outputs/wlasl_features/features/train_argue_03270.npz,77,77,29.97002997002997
train,argue,data/wlasl_processed/train/argue/03273.mp4,outputs/wlasl_features/features/train_argue_03273.npz,38,38,23.976108018676126
train,argue,data/wlasl_processed/train/argue/03274.mp4,outputs/wlasl_features/features/train_argue_03274.npz,120,96,29.997500208315973
train,argue,data/wlasl_processed/train/argue/03277.mp4,outputs/wlasl_features/features/train_argue_03277.npz,54,52,29.97
train,argue,data/wlasl_processed/train/argue/03282.mp4,outputs/wlasl_features/features/train_argue_03282.npz,81,81,30.345004312553908
train,argue,data/wlasl_processed/train/argue/65092.mp4,outputs/wlasl_features/features/train_argue_65092.npz,63,63,23.976049322158605
train,bad,data/wlasl_processed/train/bad/04708.mp4,outputs/wlasl_features/features/train_bad_04708.npz,71,71,25.0
train,bad,data/wlasl_processed/train/bad/04709.mp4,outputs/wlasl_features/features/train_bad_04709.npz,72,66,29.97
train,bad,data/wlasl_processed/train/bad/04712.mp4,outputs/wlasl_features/features/train_bad_04712.npz,20,20,23.976023976023978
train,bad,data/wlasl_processed/train/bad/04713.mp4,outputs/wlasl_features/features/train_bad_04713.npz,79,79,29.97002997002997
train,bad,data/wlasl_processed/train/bad/04718.mp4,outputs/wlasl_features/features/train_bad_04718.npz,40,39,29.97
train,bad,data/wlasl_processed/train/bad/04723.mp4,outputs/wlasl_features/features/train_bad_04723.npz,86,86,30.322944975823244
train,bad,data/wlasl_processed/train/bad/65125.mp4,outputs/wlasl_features/features/train_bad_65125.npz,55,55,23.97605300887356
train,balance,data/wlasl_processed/train/balance/04795.mp4,outputs/wlasl_features/features/train_balance_04795.npz,103,96,24.0
train,balance,data/wlasl_processed/train/balance/04797.mp4,outputs/wlasl_features/features/train_balance_04797.npz,44,44,29.97002997002997
train,balance,data/wlasl_processed/train/balance/04798.mp4,outputs/wlasl_features/features/train_balance_04798.npz,35,35,23.976069599104893
train,balance,data/wlasl_processed/train/balance/04799.mp4,outputs/wlasl_features/features/train_balance_04799.npz,106,96,30.0
train,balance,data/wlasl_processed/train/balance/04801.mp4,outputs/wlasl_features/features/train_balance_04801.npz,68,67,29.97
train,balance,data/wlasl_processed/train/balance/04803.mp4,outputs/wlasl_features/features/train_balance_04803.npz,63,61,29.97
train,balance,data/wlasl_processed/train/balance/65129.mp4,outputs/wlasl_features/features/train_balance_65129.npz,94,94,23.976057950642197
train,bar,data/wlasl_processed/train/bar/05087.mp4,outputs/wlasl_features/features/train_bar_05087.npz,44,44,23.976023976023978
train,bar,data/wlasl_processed/train/bar/05090.mp4,outputs/wlasl_features/features/train_bar_05090.npz,81,81,29.996296753487226
train,bar,data/wlasl_processed/train/bar/05095.mp4,outputs/wlasl_features/features/train_bar_05095.npz,84,84,29.97
train,bar,data/wlasl_processed/train/bar/05097.mp4,outputs/wlasl_features/features/train_bar_05097.npz,29,29,29.97
train,bar,data/wlasl_processed/train/bar/05098.mp4,outputs/wlasl_features/features/train_bar_05098.npz,29,28,29.97
train,bar,data/wlasl_processed/train/bar/05103.mp4,outputs/wlasl_features/features/train_bar_05103.npz,96,96,30.285792482026128
train,basketball,data/wlasl_processed/train/basketball/05229.mp4,outputs/wlasl_features/features/train_basketball_05229.npz,72,72,25.0
train,basketball,data/wlasl_processed/train/basketball/05230.mp4,outputs/wlasl_features/features/train_basketball_05230.npz,97,96,29.97
train,basketball,data/wlasl_processed/train/basketball/05231.mp4,outputs/wlasl_features/features/train_basketball_05231.npz,33,33,23.97616914097503
train,basketball,data/wlasl_processed/train/basketball/05233.mp4,outputs/wlasl_features/features/train_basketball_05233.npz,119,96,29.97002997002997
train,basketball,data/wlasl_processed/train/basketball/05234.mp4,outputs/wlasl_features/features/train_basketball_05234.npz,94,94,30.0
train,basketball,data/wlasl_processed/train/basketball/05238.mp4,outputs/wlasl_features/features/train_basketball_05238.npz,42,41,29.97
train,basketball,data/wlasl_processed/train/basketball/05243.mp4,outputs/wlasl_features/features/train_basketball_05243.npz,80,80,30.34975126267421
train,basketball,data/wlasl_processed/train/basketball/65144.mp4,outputs/wlasl_features/features/train_basketball_65144.npz,53,53,23.97611436154171
train,basketball,data/wlasl_processed/train/basketball/65145.mp4,outputs/wlasl_features/features/train_basketball_65145.npz,47,47,23.976057950642197
train,because,data/wlasl_processed/train/because/05596.mp4,outputs/wlasl_features/features/train_because_05596.npz,94,94,25.0
train,because,data/wlasl_processed/train/because/05598.mp4,outputs/wlasl_features/features/train_because_05598.npz,32,32,23.976023976023978
train,because,data/wlasl_processed/train/because/05599.mp4,outputs/wlasl_features/features/train_because_05599.npz,33,33,23.97616914097503
train,because,data/wlasl_processed/train/because/05601.mp4,outputs/wlasl_features/features/train_because_05601.npz,102,96,29.99705911185178
train,because,data/wlasl_processed/train/because/05609.mp4,outputs/wlasl_features/features/train_because_05609.npz,99,96,30.27612526658435
train,because,data/wlasl_processed/train/because/65158.mp4,outputs/wlasl_features/features/train_because_65158.npz,59,59,23.976051040542554
train,because,data/wlasl_processed/train/because/65159.mp4,outputs/wlasl_features/features/train_because_65159.npz,62,62,23.976075485966692
train,bed,data/wlasl_processed/train/bed/05629.mp4,outputs/wlasl_features/features/train_bed_05629.npz,69,69,25.0
train,bed,data/wlasl_processed/train/bed/05630.mp4,outputs/wlasl_features/features/train_bed_05630.npz,87,87,29.97002997002997
train,bed,data/wlasl_processed/train/bed/05631.mp4,outputs/wlasl_features/features/train_bed_05631.npz,24,24,23.976023976023978
train,bed,data/wlasl_processed/train/bed/05632.mp4,outputs/wlasl_features/features/train_bed_05632.npz,33,33,23.97616914097503
train,bed,data/wlasl_processed/train/bed/05633.mp4,outputs/wlasl_features/features/train_bed_05633.npz,27,27,23.97608311708814
train,bed,data/wlasl_processed/train/bed/05634.mp4,outputs/wlasl_features/features/train_bed_05634.npz,103,96,30.0
train,bed,data/wlasl_processed/train/bed/05636.mp4,outputs/wlasl_features/features/train_bed_05636.npz,67,66,29.97
train,bed,data/wlasl_processed/train/bed/05637.mp4,outputs/wlasl_features/features/train_bed_05637.npz,51,50,29.97
train,bed,data/wlasl_processed/train/bed/05638.mp4,outputs/wlasl_features/features/train_bed_05638.npz,37,36,29.97
train,bed,data/wlasl_processed/train/bed/05644.mp4,outputs/wlasl_features/features/train_bed_05644.npz,84,84,30.33144977650333
train,bed,data/wlasl_processed/train/bed/65161.mp4,outputs/wlasl_features/features/train_bed_65161.npz,58,58,23.976079038384693
train,bed,data/wlasl_processed/train/bed/65162.mp4,outputs/wlasl_features/features/train_bed_65162.npz,53,53,23.97611436154171
train,before,data/wlasl_processed/train/before/05728.mp4,outputs/wlasl_features/features/train_before_05728.npz,26,26,23.976146807791224
train,before,data/wlasl_processed/train/before/05729.mp4,outputs/wlasl_features/features/train_before_05729.npz,52,52,29.97002997002997
train,before,data/wlasl_processed/train/before/05730.mp4,outputs/wlasl_features/features/train_before_05730.npz,31,31,23.976075485966692
train,before,data/wlasl_processed/train/before/05731.mp4,outputs/wlasl_features/features/train_before_05731.npz,45,45,23.97613043014954
train,before,data/wlasl_processed/train/before/05732.mp4,outputs/wlasl_features/features/train_before_05732.npz,86,86,30.003488777764858
train,before,data/wlasl_processed/train/before/05733.mp4,outputs/wlasl_features/features/train_before_05733.npz,108,96,29.997222479400055
train,before,data/wlasl_processed/train/before/05734.mp4,outputs/wlasl_features/features/train_before_05734.npz,81,81,29.996296753487226
train,before,data/wlasl_processed/train/before/05740.mp4,outputs/wlasl_features/features/train_before_05740.npz,50,48,29.97
train,before,data/wlasl_processed/train/before/05742.mp4,outputs/wlasl_features/features/train_before_05742.npz,28,28,29.97
train,before,data/wlasl_processed/train/before/05743.mp4,outputs/wlasl_features/features/train_before_05743.npz,50,47,29.97
train,before,data/wlasl_processed/train/before/05749.mp4,outputs/wlasl_features/features/train_before_05749.npz,90,90,30.307082102046092
train,before,data/wlasl_processed/train/before/65167.mp4,outputs/wlasl_features/features/train_before_65167.npz,58,58,23.976079038384693
train,bird,data/wlasl_processed/train/bird/06331.mp4,outputs/wlasl_features/features/train_bird_06331.npz,63,63,25.0
train,bird,data/wlasl_processed/train/bird/06332.mp4,outputs/wlasl_features/features/train_bird_06332.npz,91,91,29.97
train,bird,data/wlasl_processed/train/bird/06333.mp4,outputs/wlasl_features/features/train_bird_06333.npz,36,36,23.976023976023978
train,bird,data/wlasl_processed/train/bird/06334.mp4,outputs/wlasl_features/features/train_bird_06334.npz,19,19,23.976108018676126
train,bird,data/wlasl_processed/train/bird/06337.mp4,outputs/wlasl_features/features/train_bird_06337.npz,65,64,29.97
train,bird,data/wlasl_processed/train/bird/06343.mp4,outputs/wlasl_features/features/train_bird_06343.npz,82,82,30.340374572525587
train,bird,data/wlasl_processed/train/bird/65187.mp4,outputs/wlasl_features/features/train_bird_65187.npz,66,66,23.97607236414568
train,black,data/wlasl_processed/train/black/06471.mp4,outputs/wlasl_features/features/train_black_06471.npz,77,77,29.97002997002997
train,black,data/wlasl_processed/train/black/06472.mp4,outputs/wlasl_features/features/train_black_06472.npz,91,91,29.97
train,black,data/wlasl_processed/train/black/06473.mp4,outputs/wlasl_features/features/train_black_06473.npz,56,56,23.976023976023978
train,black,data/wlasl_processed/train/black/06474.mp4,outputs/wlasl_features/features/train_black_06474.npz,80,80,30.0037504688086
train,black,data/wlasl_processed/train/black/06477.mp4,outputs/wlasl_features/features/train_black_06477.npz,24,23,29.97
train,black,data/wlasl_processed/train/black/06478.mp4,outputs/wlasl_features/features/train_black_06478.npz,45,44,29.97
train,black,data/wlasl_processed/train/black/06486.mp4,outputs/wlasl_features/features/train_black_06486.npz,111,96,30.242729479358903
train,black,data/wlasl_processed/train/black/65200.mp4,outputs/wlasl_features/features/train_black_65200.npz,47,47,23.976057950642197
train,blanket,data/wlasl_processed/train/blanket/06551.mp4,outputs/wlasl_features/features/train_blanket_06551.npz,76,76,29.97002997002997
train,blanket,data/wlasl_processed/train/blanket/06552.mp4,outputs/wlasl_features/features/train_blanket_06552.npz,25,25,23.976215594130622
train,blanket,data/wlasl_processed/train/blanket/06554.mp4,outputs/wlasl_features/features/train_blanket_06554.npz,33,33,23.97616914097503
train,blanket,data/wlasl_processed/train/blanket/06555.mp4,outputs/wlasl_features/features/train_blanket_06555.npz,116,96,30.002586429864643
train,blanket,data/wlasl_processed/train/blanket/06559.mp4,outputs/wlasl_features/features/train_blanket_06559.npz,50,48,29.97
train,blanket,data/wlasl_processed/train/blanket/06563.mp4,outputs/wlasl_features/features/train_blanket_06563.npz,94,94,30.29258379122356
